"","cell","patient","number_batch","experiment","depletion_batch"
"PT039_P10_G07_S271","PT039_P10_G07_S271","PT039","B9","Exp2","depleted_no"
"PT039_P10_G08_S272","PT039_P10_G08_S272","PT039","B9","Exp2","depleted_no"
"PT039_P10_G09_S273","PT039_P10_G09_S273","PT039","B9","Exp2","depleted_no"
"PT039_P10_G11_S275","PT039_P10_G11_S275","PT039","B9","Exp2","depleted_no"
"PT039_P10_H01_S277","PT039_P10_H01_S277","PT039","B9","Exp2","depleted_no"
"PT039_P10_H02_S278","PT039_P10_H02_S278","PT039","B9","Exp2","depleted_no"
"PT039_P10_H03_S279","PT039_P10_H03_S279","PT039","B9","Exp2","depleted_no"
"PT039_P10_H04_S280","PT039_P10_H04_S280","PT039","B9","Exp2","depleted_no"
"PT039_P10_H05_S281","PT039_P10_H05_S281","PT039","B9","Exp2","depleted_no"
"PT039_P10_H06_S282","PT039_P10_H06_S282","PT039","B9","Exp2","depleted_no"
"PT039_P10_H07_S283","PT039_P10_H07_S283","PT039","B9","Exp2","depleted_no"
"PT039_P10_H08_S284","PT039_P10_H08_S284","PT039","B9","Exp2","depleted_no"
"PT039_P10_H09_S285","PT039_P10_H09_S285","PT039","B9","Exp2","depleted_no"
"PT039_P10_H11_S287","PT039_P10_H11_S287","PT039","B9","Exp2","depleted_no"
"PT039_P10_H12_S288","PT039_P10_H12_S288","PT039","B9","Exp2","depleted_no"
